customer_id,customer_email,customer_name,customer_address,customer_city,customer_state,customer_zip,order_id,order_date,creditcard_number,creditcard_exp_date,order_total,ship_via,shipped_date,product_id,order_item_id,order_qty,product_name,product_retail_price
13,otyme@dayrep.com,Otto Tyme,2508 W Shaw Ave,Fresno,CA,93711,1,2009-01-01 00:00:00.000,644167 329790 0456,2013-12-31 00:00:00.000,157.0000,JiffyEx,2009-01-10 00:00:00.000,14,1,2,Comfor-fit Tee,12.0000
13,otyme@dayrep.com,Otto Tyme,2508 W Shaw Ave,Fresno,CA,93711,1,2009-01-01 00:00:00.000,644167 329790 0456,2013-12-31 00:00:00.000,157.0000,JiffyEx,2009-01-10 00:00:00.000,49,2,2,Pedometer,10.0000
13,otyme@dayrep.com,Otto Tyme,2508 W Shaw Ave,Fresno,CA,93711,1,2009-01-01 00:00:00.000,644167 329790 0456,2013-12-31 00:00:00.000,157.0000,JiffyEx,2009-01-10 00:00:00.000,12,3,1,Work Pants,38.0000
13,otyme@dayrep.com,Otto Tyme,2508 W Shaw Ave,Fresno,CA,93711,1,2009-01-01 00:00:00.000,644167 329790 0456,2013-12-31 00:00:00.000,157.0000,JiffyEx,2009-01-10 00:00:00.000,16,4,1,X-Train Shoes,75.0000
25,sbeeches@dayrep.com,Sandy Beeches,2401 Wisconsin Ave NW,Washington,DC,20559,2,2009-01-01 00:00:00.000,6459 5778 0191 1306,2009-09-30 00:00:00.000,255.0000,UDS,2009-01-04 00:00:00.000,50,1,1,Sport Cycle,255.0000
19,tanott@gustr.com,Ty Anott,789 E Mercy Ave,Phoenix,AZ,85038,3,2009-01-01 00:00:00.000,5385 4981 5320 9929,2011-04-30 00:00:00.000,206.0000,Postal Service,2009-01-07 00:00:00.000,43,1,2,Tennis Balls,8.0000
19,tanott@gustr.com,Ty Anott,789 E Mercy Ave,Phoenix,AZ,85038,3,2009-01-01 00:00:00.000,5385 4981 5320 9929,2011-04-30 00:00:00.000,206.0000,Postal Service,2009-01-07 00:00:00.000,12,2,5,Work Pants,38.0000
1,lkarforless@superrito.com,Lisa Karforless,1555 W Lane Ave,Columbus,OH,43221,4,2009-01-02 00:00:00.000,453 20915 11179 671,2010-07-31 00:00:00.000,80.0000,Postal Service,2009-01-08 00:00:00.000,41,1,4,Electric Griddle,20.0000
4,gmoss@gustr.com,Growyn Moss,2021 K Street Nw,Washington,DC,20006,5,2009-01-02 00:00:00.000,646045 4209176253,2015-12-31 00:00:00.000,765.9500,UDS,2009-01-05 00:00:00.000,31,1,3,"10"" Miter Saw",200.0000
4,gmoss@gustr.com,Growyn Moss,2021 K Street Nw,Washington,DC,20006,5,2009-01-02 00:00:00.000,646045 4209176253,2015-12-31 00:00:00.000,765.9500,UDS,2009-01-05 00:00:00.000,4,2,2,Dri-Fit Tee,20.0000
4,gmoss@gustr.com,Growyn Moss,2021 K Street Nw,Washington,DC,20006,5,2009-01-02 00:00:00.000,646045 4209176253,2015-12-31 00:00:00.000,765.9500,UDS,2009-01-05 00:00:00.000,18,3,2,DVD Player,45.0000
4,gmoss@gustr.com,Growyn Moss,2021 K Street Nw,Washington,DC,20006,5,2009-01-02 00:00:00.000,646045 4209176253,2015-12-31 00:00:00.000,765.9500,UDS,2009-01-05 00:00:00.000,40,4,1,Monsignor Coffee,20.0000
4,gmoss@gustr.com,Growyn Moss,2021 K Street Nw,Washington,DC,20006,5,2009-01-02 00:00:00.000,646045 4209176253,2015-12-31 00:00:00.000,765.9500,UDS,2009-01-05 00:00:00.000,1,5,1,Straight Claw Hammer,15.9500
18,jtyme@gustr.com,Justin Tyme,828 S Broadway,Tarrytown,NY,10591,6,2009-01-02 00:00:00.000,4556375310789120,2011-03-31 00:00:00.000,320.0000,Postal Service,2009-01-07 00:00:00.000,30,1,3,19.2v Drill Driver Set,90.0000
18,jtyme@gustr.com,Justin Tyme,828 S Broadway,Tarrytown,NY,10591,6,2009-01-02 00:00:00.000,4556375310789120,2011-03-31 00:00:00.000,320.0000,Postal Service,2009-01-07 00:00:00.000,25,2,1,Computer Mouse,10.0000
18,jtyme@gustr.com,Justin Tyme,828 S Broadway,Tarrytown,NY,10591,6,2009-01-02 00:00:00.000,4556375310789120,2011-03-31 00:00:00.000,320.0000,Postal Service,2009-01-07 00:00:00.000,41,3,1,Electric Griddle,20.0000
18,jtyme@gustr.com,Justin Tyme,828 S Broadway,Tarrytown,NY,10591,6,2009-01-02 00:00:00.000,4556375310789120,2011-03-31 00:00:00.000,320.0000,Postal Service,2009-01-07 00:00:00.000,15,4,1,Running Shorts,20.0000
7,bdehatchett@dayrep.com,Barry DeHatchett,9022 E Merchant Wy,Fairfield,IA,52556,7,2009-01-03 00:00:00.000,4220844936831,2010-03-31 00:00:00.000,315.0000,UDS,2009-01-08 00:00:00.000,30,1,1,19.2v Drill Driver Set,90.0000
7,bdehatchett@dayrep.com,Barry DeHatchett,9022 E Merchant Wy,Fairfield,IA,52556,7,2009-01-03 00:00:00.000,4220844936831,2010-03-31 00:00:00.000,315.0000,UDS,2009-01-08 00:00:00.000,51,2,4,Soccer Ball,45.0000
7,bdehatchett@dayrep.com,Barry DeHatchett,9022 E Merchant Wy,Fairfield,IA,52556,7,2009-01-03 00:00:00.000,4220844936831,2010-03-31 00:00:00.000,315.0000,UDS,2009-01-08 00:00:00.000,52,3,3,Steam Iron,15.0000
25,sbeeches@dayrep.com,Sandy Beeches,2401 Wisconsin Ave NW,Washington,DC,20559,8,2009-12-03 00:00:00.000,6459 5778 0191 1306,2009-09-30 00:00:00.000,58.0000,JiffyEx,2009-12-09 00:00:00.000,49,1,1,Pedometer,10.0000
25,sbeeches@dayrep.com,Sandy Beeches,2401 Wisconsin Ave NW,Washington,DC,20559,8,2009-12-03 00:00:00.000,6459 5778 0191 1306,2009-09-30 00:00:00.000,58.0000,JiffyEx,2009-12-09 00:00:00.000,13,2,6,Work Gloves,8.0000
19,tanott@gustr.com,Ty Anott,789 E Mercy Ave,Phoenix,AZ,85038,9,2009-01-04 00:00:00.000,5385 4981 5320 9929,2011-04-30 00:00:00.000,45.0000,UDS,2009-01-07 00:00:00.000,8,1,1,Cool Jeans,45.0000
18,jtyme@gustr.com,Justin Tyme,828 S Broadway,Tarrytown,NY,10591,10,2009-01-05 00:00:00.000,4556375310789120,2011-03-31 00:00:00.000,170.0000,UDS,2009-01-08 00:00:00.000,17,1,1,Baseball Cap,10.0000
18,jtyme@gustr.com,Justin Tyme,828 S Broadway,Tarrytown,NY,10591,10,2009-01-05 00:00:00.000,4556375310789120,2011-03-31 00:00:00.000,170.0000,UDS,2009-01-08 00:00:00.000,24,2,3,PC Webcam,20.0000
18,jtyme@gustr.com,Justin Tyme,828 S Broadway,Tarrytown,NY,10591,10,2009-01-05 00:00:00.000,4556375310789120,2011-03-31 00:00:00.000,170.0000,UDS,2009-01-08 00:00:00.000,15,3,5,Running Shorts,20.0000
21,equittin@dayrep.com,Eura Quittin,2677 Industrial Circle Dr,Columbus,OH,43260,11,2009-01-05 00:00:00.000,4556 742 58 2437,2011-06-30 00:00:00.000,3665.9500,JiffyEx,2009-01-08 00:00:00.000,21,1,3,"40"" LCD HD TV",1000.0000
21,equittin@dayrep.com,Eura Quittin,2677 Industrial Circle Dr,Columbus,OH,43260,11,2009-01-05 00:00:00.000,4556 742 58 2437,2011-06-30 00:00:00.000,3665.9500,JiffyEx,2009-01-08 00:00:00.000,3,2,1,Rip Claw Hammer,19.9500
21,equittin@dayrep.com,Eura Quittin,2677 Industrial Circle Dr,Columbus,OH,43260,11,2009-01-05 00:00:00.000,4556 742 58 2437,2011-06-30 00:00:00.000,3665.9500,JiffyEx,2009-01-08 00:00:00.000,33,3,2,Table Saw,290.0000
21,equittin@dayrep.com,Eura Quittin,2677 Industrial Circle Dr,Columbus,OH,43260,11,2009-01-05 00:00:00.000,4556 742 58 2437,2011-06-30 00:00:00.000,3665.9500,JiffyEx,2009-01-08 00:00:00.000,42,4,1,Tennis Racket,50.0000
21,equittin@dayrep.com,Eura Quittin,2677 Industrial Circle Dr,Columbus,OH,43260,11,2009-01-05 00:00:00.000,4556 742 58 2437,2011-06-30 00:00:00.000,3665.9500,JiffyEx,2009-01-08 00:00:00.000,13,5,2,Work Gloves,8.0000
18,jtyme@gustr.com,Justin Tyme,828 S Broadway,Tarrytown,NY,10591,12,2009-01-05 00:00:00.000,4556375310789120,2011-03-31 00:00:00.000,3215.0000,UDS,2009-01-08 00:00:00.000,21,1,3,"40"" LCD HD TV",1000.0000
18,jtyme@gustr.com,Justin Tyme,828 S Broadway,Tarrytown,NY,10591,12,2009-01-05 00:00:00.000,4556375310789120,2011-03-31 00:00:00.000,3215.0000,UDS,2009-01-08 00:00:00.000,20,2,1,Blu-Ray DVD Player,150.0000
18,jtyme@gustr.com,Justin Tyme,828 S Broadway,Tarrytown,NY,10591,12,2009-01-05 00:00:00.000,4556375310789120,2011-03-31 00:00:00.000,3215.0000,UDS,2009-01-08 00:00:00.000,7,3,1,Squeaky Sneaks,65.0000
21,equittin@dayrep.com,Eura Quittin,2677 Industrial Circle Dr,Columbus,OH,43260,13,2009-11-05 00:00:00.000,4556 742 58 2437,2011-06-30 00:00:00.000,12.0000,JiffyEx,2009-11-08 00:00:00.000,14,1,1,Comfor-fit Tee,12.0000
25,sbeeches@dayrep.com,Sandy Beeches,2401 Wisconsin Ave NW,Washington,DC,20559,14,2009-12-06 00:00:00.000,6459 5778 0191 1306,2009-09-30 00:00:00.000,119.7500,JiffyEx,2009-12-10 00:00:00.000,24,1,1,PC Webcam,20.0000
25,sbeeches@dayrep.com,Sandy Beeches,2401 Wisconsin Ave NW,Washington,DC,20559,14,2009-12-06 00:00:00.000,6459 5778 0191 1306,2009-09-30 00:00:00.000,119.7500,JiffyEx,2009-12-10 00:00:00.000,3,2,5,Rip Claw Hammer,19.9500
17,tpani@dayrep.com,Tim Pani,3433 E Widget Ave,Palo Alto,CA,92711,15,2009-01-06 00:00:00.000,4929 7717 4032 0623,2009-09-30 00:00:00.000,1475.0000,UDS,2009-01-09 00:00:00.000,22,1,1,"50"" LCD HD TV",1300.0000
